FID,name_landmark,ชื่อสถานที่สำคัญ,ที่อยู่
0,PHUKET SHOPPING CENTER PHUKET,ภูเก็ตช็อปปิ้งเช็นเตอร์ ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
1,LOTUS SUPER CENTER PHUKET,เทสโก้โลตัสซุปเปอร์สโตร์ ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
2,OCEAN PLAZA PHUKET,ห้างสรรพสินค้าโอเชี่ยนพลาซ่า ภูเก็ต,ถนนราษฎร์อุทิศ 200 ปี
3,PATONG SHOPPING CENTER PA TONG,ป่าตองช้อปปิ้งเซ็นเตอร์ ป่าตอง,ถนนทวีวงค์
4,PEARL PLAZA PHUKET,เพิร์ลพลาซ่า ภูเก็ต,ซอยพังงา 2
5,PHUKET SHOPPING CENTRE DEPARTMENT STORE PHUKET,ภูเก็ตช็อปปิ้งเซนเตอร์ดีพาร์ทเม้นท์สโตร์ ภูเก็ต,ถนนตะกั่วป่า
6,ROBINSON DEPARTMENT STORE PHUKET,ห้างสรรพสินค้าโรบินสัน ภูเก็ต,ซอยสุรินทร์
7,OCEAN SHOPPING MALL PHUKET,โอเชียนช้อปปิ้งมอลล์ ภูเก็ต,ถนนภูเก็ต
8,ROBINSON DEPARTMENT STORE PHUKET,ห้างสรรพสินค้าโรบินสัน ภูเก็ต,ถนนติลกอุทิศ 1
9,BIG ONE SUPER MARKET PHUKET,บิ๊กวันซุปเปอร์มาร์เก็ต ภูเก็ต,ถนนเจ้าฟ้า
10,LUCKY COMPLEX PHUKET,ลัคกี้คอมเพล็กซ์ ภูเก็ต,ถนนภูเก็ต
11,WORLD SUPERMARKET PHUKET,เวิลด์ซุปเปอร์มาร์เก็ต ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4028
12,KARON PLAZA PHUKET,กะรนพลาซ่า ภูเก็ต,ถนนหลวงพ่อฉ้วน
13,KATA SHOPPING CENTRE PHUKET,กะตะช็อปปิ้งเซ็นเตอร์ ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4233
14,KATA DELI SUPERMARKET PHUKET,กะตะเดลี่ซุปเปอร์มาร์เก็ต ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4233
15,RHUNGNAPA SUPERMARKET PHUKET,รุ่งนภาซุปเปอร์มาร์เก็ต ภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4028
16,TAMBON THA CHAT CHAI PROVINCIAL POLICE STATION,สถานีตำรวจภูธรตำบลท่าฉัตรไชย,ทางหลวงแผ่นดินหมายเลข 402
17,"HIGHWAY OFFICE 14,THALANG HIGHWAY DEPOT,PHUKET HIGHWAY DISTRICT",สำนักงานทางหลวงที่ 14 หมวดการทางถลางแขวงการทางภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
18,WAT THA CHAT CHAI,วัดท่าฉัตรไชย,ทางหลวงแผ่นดินหมายเลข 402
19,THA CHATCHAI SCHOOL,โรงเรียนท่าฉัตรไชย,ทางหลวงแผ่นดินหมายเลข 402
20,SIRI NAT PHUKET NATIONAL PARK,อุทยานแห่งชาติสิรินาถจังหวัดภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
21,SAI KAEW BEACH,หาดทรายแก้ว,ทางหลวงแผ่นดินหมายเลข 402
22,MUSJID AL IL LA,มัสยิดอัลอิลล๊ะฮ์, 
23,BAN KHO EN SCHOOL,โรงเรียนบ้านคอเอน,ทางหลวงแผ่นดินหมายเลข 402
24,MASTID NURUN AMAL,มัสยิดนูรุ้ลอามัล (มัสยิดบ้านหยิด),ทางหลวงแผ่นดินหมายเลข 402
25,HONG YOK BAMRUNG SCHOOL,โรงเรียนหงษ์หยกบำรุง,ทางหลวงแผ่นดินหมายเลข 402
